Actor,Category
Natalie Portman,Blue
Meryl Streep,Blue
Felicity Jones,Blue
Carrie Fisher,Blue
Marilyn Monroe,Blue
Julianne Moore,Blue
Elizabeth Banks,Blue
Margot Robbie,Blue
Jennifer Connelly,Blue
Alyson Hannigan,Blue
Janet Leigh,Blue
Sigourney Weaver,Blue
Octavia Spencer,Blue
Brie Larson,Blue
Ellen Burstyn,Blue
Daisy Ridley,Blue
Marlene Dietrich,Blue
Maggie Smith,Blue
Charlize Theron,Blue
Ingrid Bergman,Blue
Carey Mulligan,Blue
Naomi Watts,Blue
Sally Hawkins,Blue
Evangeline Lilly,Blue
Tilda Swinton,Blue
Kim Basinger,Blue
Elizabeth Olsen,Blue
Alicia Vikander,Blue
Demi Moore,Blue
Kirsten Dunst,Blue
Shelley Duvall,Blue
Vivien Leigh,Blue
Kaya Scodelario,Blue
Emily Blunt,Blue
Michelle Pfeiffer,Blue
Julie Delpy,Blue
Faye Dunaway,Blue
Jessica Chastain,Blue
Uma Thurman,Blue
Anne Hathaway,Blue
Eva Green,Blue
Olga Kurylenko,Blue
Hailee Steinfeld,Blue
Keira Knightley,Blue
Bette Davis,Blue
Hilary Swank,Blue
Jennifer Jason Leigh,Blue
Diane Kruger,Blue
Jodie Foster,Blue
Rosamund Pike,Blue
Sharon Stone,Blue
Robin Wright,Blue
Kim Novak,Blue
Rachel Weisz,Blue
Nicole Kidman,Blue
Emma Watson,Blue
Viola Davis,Blue
Julia Roberts,Blue
Scarlett Johansson,Blue
Amy Adams,Blue
Kate Winslet,Blue
Emmy Rossum,Blue
Cate Blanchett,Blue
Marion Cotillard,Blue
Kate Mara,Blue
Rooney Mara,Blue
Maggie Gyllenhaal,Blue
Diane Keaton,Blue
Talia Shire,Blue
Emma Stone,Blue
Milla Jovovich,Blue
Elliot Page,Blue
Grace Kelly,Blue
Angelina Jolie,Blue
Blake Lively,Blue
Vera Farmiga,Blue
Jennifer Lawrence,Blue
Mia Farrow,Blue
Katheryn Winnick,Blue
Jennifer Aniston,Blue
Joan Allen,Blue
Saoirse Ronan,Blue
Helena Bonham Carter,Blue
Anna Kendrick,Blue
Cameron Diaz,Blue
