Actor,Category
Diane Keaton,Red
Keira Knightley,Red
Meryl Streep,Red
Sigourney Weaver,Red
Evangeline Lilly,Red
Uma Thurman,Red
Brie Larson,Red
Emma Stone,Red
Tilda Swinton,Red
Scarlett Johansson,Red
Kirsten Dunst,Red
Jennifer Lawrence,Red
Julia Roberts,Red
Amy Adams,Red
Natalie Portman,Red
Robin Wright,Red
Talia Shire,Red
Shelley Duvall,Red
Anne Hathaway,Red
Julianne Moore,Red
Julie Delpy,Red
Eva Green,Red
Milla Jovovich,Red
Grace Kelly,Red
Emma Watson,Red
Kaya Scodelario,Red
Helena Bonham Carter,Red
