Director,Year,Film_Count
Alfred Hitchcock,1935,1
Alfred Hitchcock,1938,1
Alfred Hitchcock,1941,1
Alfred Hitchcock,1945,1
Alfred Hitchcock,1946,2
Alfred Hitchcock,1947,1
Alfred Hitchcock,1948,1
Alfred Hitchcock,1950,1
Alfred Hitchcock,1953,1
Alfred Hitchcock,1954,2
Alfred Hitchcock,1955,2
Alfred Hitchcock,1956,3
Alfred Hitchcock,1957,2
Alfred Hitchcock,1958,2
Alfred Hitchcock,1959,4
Alfred Hitchcock,1960,5
Alfred Hitchcock,1961,2
Alfred Hitchcock,1963,1
Alfred Hitchcock,1964,1
Alfred Hitchcock,1966,2
Alfred Hitchcock,1967,1
Alfred Hitchcock,1968,2
Alfred Hitchcock,1970,2
Alfred Hitchcock,1971,2
Alfred Hitchcock,1972,1
Alfred Hitchcock,1973,2
Alfred Hitchcock,1974,1
Alfred Hitchcock,1979,1
Alfred Hitchcock,1984,1
Alfred Hitchcock,1994,1
Alfred Hitchcock,1997,1
Alfred Hitchcock,2008,2
Alfred Hitchcock,2010,1
Alfred Hitchcock,2014,1
Alfred Hitchcock,2023,1
Clint Eastwood,1961,1
Clint Eastwood,1962,1
Clint Eastwood,1964,1
Clint Eastwood,1968,2
Clint Eastwood,1970,2
Clint Eastwood,1971,2
Clint Eastwood,1976,1
Clint Eastwood,1978,1
Clint Eastwood,1980,1
Clint Eastwood,1982,1
Clint Eastwood,1985,3
Clint Eastwood,1986,1
Clint Eastwood,1987,2
Clint Eastwood,1988,2
Clint Eastwood,1989,1
Clint Eastwood,1990,1
Clint Eastwood,1991,1
Clint Eastwood,1992,5
Clint Eastwood,1993,15
Clint Eastwood,1994,3
Clint Eastwood,1995,1
Clint Eastwood,1996,7
Clint Eastwood,1998,1
Clint Eastwood,1999,2
Clint Eastwood,2000,5
Clint Eastwood,2001,5
Clint Eastwood,2002,3
Clint Eastwood,2003,10
Clint Eastwood,2004,36
Clint Eastwood,2005,22
Clint Eastwood,2006,26
Clint Eastwood,2007,14
Clint Eastwood,2008,12
Clint Eastwood,2009,26
Clint Eastwood,2010,17
Clint Eastwood,2011,5
Clint Eastwood,2012,2
Clint Eastwood,2013,2
Clint Eastwood,2014,3
Clint Eastwood,2015,9
Clint Eastwood,2017,4
Clint Eastwood,2018,1
Clint Eastwood,2019,2
Clint Eastwood,2020,4
Clint Eastwood,2021,4
Francis Ford Coppola,1969,1
Francis Ford Coppola,1971,1
Francis Ford Coppola,1972,3
Francis Ford Coppola,1973,4
Francis Ford Coppola,1974,6
Francis Ford Coppola,1975,8
Francis Ford Coppola,1979,2
Francis Ford Coppola,1980,12
Francis Ford Coppola,1981,1
Francis Ford Coppola,1983,1
Francis Ford Coppola,1984,3
Francis Ford Coppola,1985,1
Francis Ford Coppola,1987,1
Francis Ford Coppola,1988,2
Francis Ford Coppola,1991,7
Francis Ford Coppola,1992,2
Francis Ford Coppola,1993,2
Francis Ford Coppola,1994,2
Francis Ford Coppola,1995,1
Francis Ford Coppola,1997,2
Francis Ford Coppola,1998,4
Francis Ford Coppola,2001,3
Francis Ford Coppola,2002,3
Francis Ford Coppola,2003,2
Francis Ford Coppola,2005,2
Francis Ford Coppola,2007,1
Francis Ford Coppola,2008,1
Francis Ford Coppola,2009,3
Francis Ford Coppola,2012,1
Francis Ford Coppola,2014,1
Francis Ford Coppola,2015,1
Francis Ford Coppola,2017,1
Francis Ford Coppola,2018,1
Francis Ford Coppola,2021,1
Francis Ford Coppola,2022,2
Francis Ford Coppola,2024,1
Martin Scorsese,1967,2
Martin Scorsese,1974,1
Martin Scorsese,1975,2
Martin Scorsese,1976,3
Martin Scorsese,1977,2
Martin Scorsese,1980,1
Martin Scorsese,1983,2
Martin Scorsese,1985,2
Martin Scorsese,1986,3
Martin Scorsese,1987,2
Martin Scorsese,1988,1
Martin Scorsese,1990,7
Martin Scorsese,1991,9
Martin Scorsese,1992,1
Martin Scorsese,1993,3
Martin Scorsese,1994,2
Martin Scorsese,1995,4
Martin Scorsese,1996,1
Martin Scorsese,1997,2
Martin Scorsese,1998,3
Martin Scorsese,1999,1
Martin Scorsese,2000,1
Martin Scorsese,2001,1
Martin Scorsese,2002,6
Martin Scorsese,2003,7
Martin Scorsese,2004,8
Martin Scorsese,2005,5
Martin Scorsese,2006,23
Martin Scorsese,2007,14
Martin Scorsese,2008,2
Martin Scorsese,2010,7
Martin Scorsese,2011,22
Martin Scorsese,2012,33
Martin Scorsese,2013,17
Martin Scorsese,2014,20
Martin Scorsese,2015,4
Martin Scorsese,2016,7
Martin Scorsese,2017,10
Martin Scorsese,2018,5
Martin Scorsese,2019,33
Martin Scorsese,2020,43
Martin Scorsese,2021,2
Martin Scorsese,2022,3
Martin Scorsese,2023,36
Martin Scorsese,2024,74
Renny Harlin,1988,2
Renny Harlin,1989,1
Renny Harlin,1990,2
Renny Harlin,1991,1
Renny Harlin,1992,1
Renny Harlin,1996,1
Renny Harlin,2001,1
Renny Harlin,2002,1
Renny Harlin,2005,1
Renny Harlin,2013,2
Renny Harlin,2015,1
Renny Harlin,2022,1
Ridley Scott,1977,2
Ridley Scott,1978,1
Ridley Scott,1979,1
Ridley Scott,1980,2
